USERNAME, TIMESTAMP, ACTION, RESOURCE
xcherndon, 06/14/2015 02:02:34PM, update, notification NX0017
xcherndon, 06/15/2015 07:51:37AM, update, notification NX3622
qylarry, 06/15/2015 12:00:40PM, export, system alert CA04126
qylarry, 06/15/2015 01:26:39PM, cancel, notification NX1118
fzalcala, 06/15/2015 04:22:47PM, create, message M4467
fzalcala, 06/16/2015 02:49:04PM, sort, appointment A003855
dsblythe, 06/16/2015 04:40:56PM, complete, message M2049
qylarry, 06/17/2015 01:42:07AM, complete, office visit OV04294
xcherndon, 06/17/2015 05:31:02AM, access, ICD-10 Code 997
quhundley, 06/17/2015 01:33:23PM, merge, message M1235
quhundley, 06/19/2015 04:06:59AM, delete, ICD-9 Code 261
fzalcala, 06/19/2015 06:55:18PM, unmerge, LOINC code 273
dsblythe, 06/19/2015 09:04:05PM, view, appointment A002502
qylarry, 06/19/2015 12:10:19PM, assign, ICD-9 Code 790
xcherndon, 06/20/2015 01:21:47AM, modify, office visit OV03948
fzalcala, 06/20/2015 09:42:09PM, update, office visit OV04352
quhundley, 06/20/2015 12:08:29PM, print, system alert CA04407
dsblythe, 06/21/2015 10:56:35AM, modify, notification NX3875
fzalcala, 06/21/2015 12:24:06AM, enable, system alert CA04762
xcherndon, 06/21/2015 01:09:00PM, query, notification NX2287
lqmadden, 06/21/2015 04:42:20PM, import, appointment A002389
xcherndon, 06/21/2015 06:31:31PM, modify, notification NX2392
lqmadden, 06/22/2015 12:40:00AM, order, system alert CA04806
lqmadden, 06/22/2015 12:58:56PM, query, message M5221
dsblythe, 06/22/2015 04:54:32PM, query, notification NX2163
dsblythe, 06/22/2015 05:18:16PM, print, office visit OV02789
xcherndon, 06/23/2015 06:35:37AM, unmerge, LOINC code 273
xcherndon, 06/23/2015 12:26:25PM, assign, system alert CA04099
fzalcala, 06/23/2015 01:36:16PM, import, system alert CA01287
quhundley, 06/23/2015 04:49:57PM, view, appointment A002502
dsblythe, 06/24/2015 01:15:19AM, cancel, office visit OV01843
quhundley, 06/24/2015 01:35:16AM, disable, patient specific instructions A541
lqmadden, 06/24/2015 06:23:15AM, print, system alert CA04407
xcherndon, 06/24/2015 09:21:11PM, unmerge, notification NX1034
qylarry, 06/25/2015 09:13:27AM, order, system alert CA04806
quhundley, 06/25/2015 10:53:53AM, query, notification NX2872
xcherndon, 06/25/2015 07:25:30PM, complete, system alert CA03406
quhundley, 06/25/2015 11:12:08PM, unmerge, system alert CA00345
lqmadden, 06/26/2015 06:18:40AM, delete, notification NX2338
dsblythe, 06/26/2015 07:48:38AM, export, message M5392
xcherndon, 06/26/2015 09:39:41PM, unmerge, notification NX1624
quhundley, 06/27/2015 03:09:31AM, disable, ICD Code 118
fzalcala, 07/01/2015 12:07:32AM, order, notification NX1379
dsblythe, 07/01/2015 03:01:14PM, sort, system alert CA04760
fzalcala, 07/02/2015 01:28:29AM, create, message M4467
fzalcala, 07/02/2015 04:00:23AM, schedule, system alert CA01078
quhundley, 07/02/2015 04:41:05AM, create, message M3668
qylarry, 07/02/2015 01:58:23PM, assign, appointment A003606
lqmadden, 07/02/2015 03:21:50PM, update, office visit OV04352
xcherndon, 07/02/2015 06:58:11PM, unmerge, notification NX1034
quhundley, 07/03/2015 01:16:39PM, view, system alert CA00528
lqmadden, 07/04/2015 06:01:36AM, export, notification NX1839
quhundley, 07/04/2015 10:29:53AM, complete, ICD-9 Code 905
fzalcala, 07/04/2015 12:27:01AM, create, ICD-9 Code 130
qylarry, 07/04/2015 02:44:30PM, unmerge, system alert CA00277
quhundley, 07/04/2015 08:23:40PM, create, office visit OV01854
xcherndon, 07/04/2015 10:55:45PM, print, system alert CA04892
xcherndon, 07/05/2015 05:17:29AM, query, HL7 Code 288
xcherndon, 07/05/2015 08:07:56AM, complete, office visit OV04294
xcherndon, 07/05/2015 12:52:51AM, unmerge, system alert CA02196
dsblythe, 07/06/2015 12:26:05AM, sort, appointment A005172
qylarry, 07/06/2015 01:43:12PM, complete, ICD-9 Code 905
qylarry, 07/06/2015 11:11:58PM, export, office visit OV03450
fzalcala, 07/06/2015 12:18:50PM, delete, system alert CA04264
qylarry, 07/07/2015 06:30:01AM, disable, notification NX3290
lqmadden, 07/07/2015 11:30:18AM, import, office visit OV02939
lqmadden, 07/07/2015 02:56:05PM, unmerge, notification NX4728
fzalcala, 07/07/2015 09:25:56PM, create, message M4467
lqmadden, 07/07/2015 09:41:25PM, schedule, appointment A002321
dsblythe, 07/08/2015 04:42:16AM, update, CPT Code 89
dsblythe, 07/08/2015 12:22:42AM, modify, office visit OV03948
dsblythe, 07/08/2015 03:12:05PM, disable, patient specific instructions A541
xcherndon, 07/08/2015 04:35:37PM, create, system alert CA04840
quhundley, 07/09/2015 02:19:51AM, unmerge, system alert CA02196
lqmadden, 07/09/2015 11:36:35AM, export, office visit OV03450
xcherndon, 07/09/2015 12:26:53AM, import, office visit OV02939
xcherndon, 07/09/2015 04:19:47PM, create, system alert CA01597
quhundley, 07/10/2015 05:20:42AM, schedule, ICD-10 Code 256
dsblythe, 07/11/2015 12:02:19AM, create, HL7 Code 98
xcherndon, 07/11/2015 12:24:47AM, order, notification NX1379
dsblythe, 07/11/2015 07:46:35AM, export, system alert CA04826
dsblythe, 07/11/2015 02:56:47PM, unmerge, notification NX1624
dsblythe, 07/11/2015 03:03:17PM, import, office visit OV01979
xcherndon, 07/11/2015 05:51:58PM, unmerge, office visit OV00787
fzalcala, 07/12/2015 06:04:26AM, query, HL7 Code 288
qylarry, 07/12/2015 11:09:59AM, merge, system alert CA00437
lqmadden, 07/12/2015 04:55:50PM, unmerge, notification NX1034
qylarry, 07/12/2015 09:19:17PM, complete, appointment A003583
dsblythe, 07/13/2015 12:15:00AM, create, system alert CA02888
lqmadden, 07/13/2015 12:55:43AM, update, CPT Code 89
xcherndon, 07/13/2015 01:10:57AM, disable, ICD Code 118
lqmadden, 07/13/2015 10:05:39AM, assign, appointment A004734
lqmadden, 07/13/2015 11:10:13PM, cancel, office visit OV00234
fzalcala, 07/14/2015 04:06:13AM, complete, message M3214
qylarry, 07/14/2015 04:11:48AM, export, system alert CA04826
qylarry, 07/14/2015 04:58:12PM, import, office visit OV02939
xcherndon, 07/16/2015 02:55:23AM, create, message M4467
xcherndon, 07/16/2015 10:31:46AM, update, notification NX0017
quhundley, 07/16/2015 03:51:55PM, export, system alert CA04826
qylarry, 07/17/2015 04:29:45AM, view, appointment A004609
dsblythe, 07/17/2015 01:41:00PM, query, system alert CA02891
quhundley, 07/17/2015 04:00:24PM, query, notification NX2287
qylarry, 07/17/2015 06:22:38PM, cancel, office visit OV00234
xcherndon, 07/17/2015 10:09:55PM, modify, notification NX3875
fzalcala, 07/18/2015 06:47:23AM, view, appointment A002502
qylarry, 07/18/2015 01:37:36PM, import, system alert CA01036
dsblythe, 07/18/2015 02:26:29PM, modify, notification NX3875
quhundley, 07/18/2015 09:32:56PM, resolve, notification NX4608
fzalcala, 07/19/2015 11:08:36PM, print, notification NX2286
xcherndon, 07/20/2015 02:38:16AM, schedule, appointment A002321
lqmadden, 07/20/2015 01:54:12PM, view, office visit OV01976
fzalcala, 07/20/2015 04:55:26PM, modify, notification NX3875
lqmadden, 07/20/2015 11:31:08PM, assign, appointment A003606
dsblythe, 07/21/2015 01:24:06AM, modify, patient specific instructions A1473
qylarry, 07/21/2015 02:48:16AM, resolve, ND code 295
qylarry, 07/21/2015 04:24:01AM, unmerge, notification NX1034
quhundley, 07/21/2015 07:35:44AM, cancel, system alert CA03417
xcherndon, 07/22/2015 04:12:44PM, merge, system alert CA00306
fzalcala, 07/22/2015 04:16:34PM, unmerge, system alert CA02249
fzalcala, 07/22/2015 08:33:44PM, modify, patient specific instructions A1473
quhundley, 07/22/2015 12:36:24PM, update, notification NX0017
fzalcala, 07/23/2015 02:25:52AM, create, ICD-9 Code 130
lqmadden, 07/24/2015 10:10:34AM, create, system alert CA01597
quhundley, 07/25/2015 12:07:42AM, modify, office visit OV01366
quhundley, 07/25/2015 05:09:47AM, resolve, notification NX4608
dsblythe, 07/25/2015 04:52:16PM, assign, message M1493
xcherndon, 07/25/2015 09:36:35PM, query, appointment A001519
dsblythe, 07/25/2015 11:48:18PM, enable, appointment A000676
xcherndon, 07/26/2015 02:30:45PM, resolve, notification NX4608
lqmadden, 07/27/2015 12:19:23AM, order, notification NX1379
dsblythe, 07/27/2015 12:58:52AM, query, notification NX2872
qylarry, 07/27/2015 01:59:49AM, export, office visit OV03450
dsblythe, 07/27/2015 06:41:10AM, merge, appointment A004326
qylarry, 07/27/2015 08:33:05AM, access, ICD-10 Code 997
qylarry, 07/27/2015 01:58:07PM, schedule, system alert CA01078
dsblythe, 07/27/2015 03:05:29PM, update, notification NX0017
qylarry, 08/01/2015 06:49:52AM, access, office visit OV02912
qylarry, 08/01/2015 10:27:06AM, export, system alert CA04826
dsblythe, 08/01/2015 03:29:32PM, query, message M5221
fzalcala, 08/01/2015 07:58:05PM, cancel, office visit OV01843
quhundley, 08/01/2015 08:26:04PM, unmerge, system alert CA03572
quhundley, 08/01/2015 10:38:58PM, assign, system alert CA04029
lqmadden, 08/02/2015 06:18:01AM, view, appointment A002502
fzalcala, 08/02/2015 01:17:57PM, access, appointment A003533
xcherndon, 08/02/2015 01:37:47PM, sort, appointment A002378
fzalcala, 08/02/2015 11:04:31PM, disable, ICD-10 Code 792
dsblythe, 08/03/2015 09:42:46PM, create, office visit OV03099
qylarry, 08/04/2015 05:36:18AM, update, office visit OV02205
fzalcala, 08/04/2015 10:13:03AM, print, office visit OV00092
qylarry, 08/04/2015 04:35:25PM, cancel, office visit OV01843
xcherndon, 08/04/2015 09:17:17PM, delete, notification NX4358
fzalcala, 08/04/2015 11:21:00PM, unmerge, system alert CA03572
dsblythe, 08/05/2015 05:38:50AM, complete, message M4329
xcherndon, 08/05/2015 07:30:24AM, update, notification NX3622
dsblythe, 08/05/2015 07:57:59AM, export, office visit OV03450
lqmadden, 08/05/2015 09:23:18AM, access, appointment A003011
fzalcala, 08/06/2015 01:36:37AM, modify, office visit OV00093
fzalcala, 08/06/2015 03:10:55AM, modify, notification NX2312
lqmadden, 08/06/2015 07:08:49AM, assign, ICD-9 Code 790
xcherndon, 08/06/2015 11:08:21AM, delete, appointment A002663
lqmadden, 08/06/2015 01:11:08PM, export, system alert CA00761
qylarry, 08/06/2015 02:07:06PM, complete, LOINC code 51
quhundley, 08/06/2015 02:11:07PM, enable, system alert CA03006
lqmadden, 08/06/2015 09:47:42PM, query, office visit OV03668
xcherndon, 08/07/2015 02:50:22AM, update, notification NX3622
lqmadden, 08/07/2015 05:04:56AM, import, system alert CA01287
qylarry, 08/07/2015 12:27:56PM, enable, system alert CA04762
qylarry, 08/07/2015 02:53:52PM, create, office visit OV02431
dsblythe, 08/07/2015 10:07:40PM, view, notification NX1396
dsblythe, 08/07/2015 11:24:56PM, assign, notification NX1212
lqmadden, 08/08/2015 01:57:55AM, export, message M4855
fzalcala, 08/08/2015 01:28:45PM, import, message M5544
qylarry, 08/08/2015 09:02:58PM, export, system alert CA04126
xcherndon, 08/09/2015 08:40:11AM, export, office visit OV02309
dsblythe, 08/09/2015 01:27:17PM, update, office visit OV03559
dsblythe, 08/09/2015 06:35:01PM, unmerge, system alert CA00345
quhundley, 08/09/2015 07:38:44PM, disable, notification NX0207
dsblythe, 08/09/2015 08:01:07PM, view, message M5089
xcherndon, 08/09/2015 10:58:57PM, query, message M5221
lqmadden, 08/09/2015 11:00:19PM, disable, notification NX4451
quhundley, 08/10/2015 05:11:38AM, resolve, notification NX4608
quhundley, 08/10/2015 04:07:15PM, unmerge, LOINC code 273
xcherndon, 08/10/2015 08:32:29PM, print, system alert CA04407
quhundley, 08/10/2015 09:45:36PM, complete, ICD-9 Code 905
fzalcala, 08/11/2015 02:38:05AM, print, ICD-9 Code 397
xcherndon, 08/11/2015 12:35:34PM, unmerge, notification NX1034
fzalcala, 08/11/2015 04:42:21PM, update, notification NX0017
qylarry, 08/11/2015 10:04:02PM, export, system alert CA04826
qylarry, 08/11/2015 12:19:20PM, query, message M2133
lqmadden, 08/12/2015 07:15:14AM, cancel, system alert CA02174
xcherndon, 08/12/2015 01:07:40PM, create, system alert CA03482
dsblythe, 08/12/2015 01:13:09PM, print, notification NX2286
quhundley, 08/12/2015 09:58:14PM, sort, appointment A005008
lqmadden, 08/12/2015 11:12:19PM, disable, office visit OV03696
qylarry, 08/12/2015 12:00:21PM, modify, notification NX3875
xcherndon, 08/13/2015 01:48:15AM, cancel, notification NX1842
qylarry, 08/13/2015 03:50:18AM, modify, office visit OV03948
quhundley, 08/13/2015 06:05:38AM, create, office visit OV01854
quhundley, 08/13/2015 09:05:14AM, print, notification NX1293
fzalcala, 08/13/2015 07:31:45PM, resolve, ICD-10 Code 394
xcherndon, 08/13/2015 11:52:24PM, order, message M1819
lqmadden, 08/14/2015 10:38:04PM, enable, office visit OV00119
dsblythe, 08/15/2015 12:01:59PM, print, office visit OV00759
qylarry, 08/15/2015 01:02:14PM, merge, message M3062
fzalcala, 08/16/2015 12:40:01AM, update, office visit OV02205
qylarry, 08/16/2015 07:03:37AM, import, system alert CA00119
fzalcala, 08/17/2015 05:49:02AM, schedule, appointment A002321
fzalcala, 08/17/2015 10:21:16AM, print, office visit OV00092
xcherndon, 08/17/2015 01:37:14PM, access, patient specific instructions A175
qylarry, 08/17/2015 04:06:39PM, schedule, appointment A002321
lqmadden, 08/18/2015 12:18:03AM, import, office visit OV02800
dsblythe, 08/18/2015 12:03:09AM, export, system alert CA01704
fzalcala, 08/18/2015 03:29:16PM, unmerge, message M5060
dsblythe, 08/18/2015 07:20:36PM, delete, notification NX4358
dsblythe, 08/18/2015 09:36:24PM, schedule, system alert CA01893
quhundley, 08/19/2015 09:40:51AM, sort, appointment A005008
lqmadden, 08/20/2015 12:30:34AM, create, system alert CA02888
quhundley, 08/20/2015 01:31:17AM, cancel, office visit OV01843
fzalcala, 08/20/2015 07:15:27AM, sort, appointment A005008
lqmadden, 08/20/2015 08:05:30AM, delete, appointment A003068
fzalcala, 08/20/2015 08:35:05AM, enable, office visit OV01358
xcherndon, 08/20/2015 03:22:47PM, sort, system alert CA00678
fzalcala, 08/20/2015 09:29:29PM, unmerge, system alert CA00345
dsblythe, 08/21/2015 01:43:44AM, access, office visit OV02804
dsblythe, 08/21/2015 01:04:57PM, query, office visit OV05504
quhundley, 08/21/2015 04:31:02PM, merge, appointment A004326
xcherndon, 08/21/2015 07:16:00PM, print, office visit OV00092
fzalcala, 08/22/2015 12:08:51AM, import, office visit OV01979
fzalcala, 08/22/2015 07:23:53AM, sort, appointment A005008
xcherndon, 08/22/2015 05:38:05PM, export, system alert CA04826
dsblythe, 08/22/2015 10:08:12PM, schedule, appointment A004513
qylarry, 08/23/2015 11:31:01AM, assign, system alert CA04029
lqmadden, 08/24/2015 11:25:15AM, unmerge, system alert CA03572
dsblythe, 08/24/2015 01:51:56PM, view, notification NX1396
dsblythe, 08/24/2015 08:38:23PM, print, notification NX1293
fzalcala, 08/25/2015 03:54:56AM, unmerge, notification NX1034
fzalcala, 08/25/2015 04:15:22AM, view, appointment A002502
quhundley, 08/25/2015 12:10:54PM, print, notification NX2286
xcherndon, 08/25/2015 06:02:18PM, disable, notification NX1054
qylarry, 08/26/2015 07:44:05PM, update, ICD Code 26
xcherndon, 08/26/2015 09:42:53PM, unmerge, ICD-9 Code 1269
quhundley, 08/27/2015 12:27:35PM, disable, ICD Code 118
xcherndon, 09/01/2015 01:47:37AM, update, system alert CA02935
lqmadden, 09/01/2015 03:08:35AM, delete, notification NX4358
quhundley, 09/01/2015 02:28:04PM, schedule, message M4256
lqmadden, 09/02/2015 09:19:39AM, print, office visit OV02789
fzalcala, 09/02/2015 09:57:56AM, cancel, notification NX1842
qylarry, 09/02/2015 11:15:19AM, modify, HL7 Code 282
lqmadden, 09/02/2015 11:20:13AM, update, CPT Code 89
fzalcala, 09/02/2015 11:34:56AM, cancel, system alert CA03417
dsblythe, 09/02/2015 12:26:00PM, enable, office visit OV00119
dsblythe, 09/03/2015 12:32:24PM, update, patient specific instructions A532
quhundley, 09/03/2015 07:21:33PM, unmerge, system alert CA00345
xcherndon, 09/03/2015 12:14:09PM, export, system alert CA04826
qylarry, 09/04/2015 01:18:35AM, merge, system alert CA00306
quhundley, 09/04/2015 04:58:35AM, create, message M4467
lqmadden, 09/04/2015 06:29:17AM, access, system alert CA00245
fzalcala, 09/04/2015 12:26:08PM, print, system alert CA04407
quhundley, 09/04/2015 12:53:30AM, resolve, notification NX0348
lqmadden, 09/04/2015 09:14:29PM, delete, ICD-9 Code 261
xcherndon, 09/05/2015 12:10:56AM, unmerge, appointment A002347
quhundley, 09/05/2015 05:53:30AM, order, notification NX1379
lqmadden, 09/05/2015 07:30:37AM, merge, message M3062
lqmadden, 09/05/2015 01:11:39PM, order, system alert CA04806
lqmadden, 09/05/2015 07:14:11PM, disable, office visit OV02258
lqmadden, 09/05/2015 09:22:14PM, enable, appointment A000676
fzalcala, 09/06/2015 05:14:47AM, unmerge, message M4205
xcherndon, 09/06/2015 11:17:04AM, create, message M4467
lqmadden, 09/06/2015 04:04:35PM, unmerge, system alert CA00277
dsblythe, 09/06/2015 09:02:24PM, view, message M5089
fzalcala, 09/07/2015 03:18:01AM, create, system alert CA01597
xcherndon, 09/07/2015 06:33:00AM, create, ICD-9 Code 130
fzalcala, 09/07/2015 01:13:53PM, disable, patient specific instructions A541
dsblythe, 09/07/2015 02:30:36PM, import, office visit OV02939
dsblythe, 09/07/2015 04:25:10PM, modify, office visit OV03948
lqmadden, 09/07/2015 06:53:19PM, cancel, office visit OV02085
fzalcala, 09/08/2015 04:16:13AM, schedule, system alert CA01893
fzalcala, 09/08/2015 07:18:39AM, resolve, patient specific instructions A861
qylarry, 09/08/2015 10:07:13AM, view, notification NX2816
quhundley, 09/08/2015 10:07:56AM, order, message M1792
qylarry, 09/08/2015 12:44:16PM, unmerge, notification NX1034
fzalcala, 09/09/2015 03:23:54AM, import, notification NX0848
xcherndon, 09/09/2015 07:59:15AM, resolve, notification NX0525
quhundley, 09/09/2015 03:30:29PM, import, office visit OV05644
dsblythe, 09/09/2015 08:01:20PM, query, message M5221
quhundley, 09/09/2015 08:25:53PM, delete, notification NX2338
quhundley, 09/09/2015 08:39:36PM, complete, ICD-9 Code 905
dsblythe, 09/10/2015 04:47:47PM, complete, message M3214
lqmadden, 09/11/2015 12:01:41AM, create, office visit OV01243
quhundley, 09/11/2015 03:40:54AM, create, ICD-9 Code 130
qylarry, 09/11/2015 07:27:04AM, export, notification NX2834
xcherndon, 09/11/2015 08:24:47AM, create, office visit OV01854
lqmadden, 09/11/2015 04:39:07PM, create, system alert CA04840
fzalcala, 09/12/2015 07:54:42AM, print, appointment A004091
xcherndon, 09/12/2015 01:11:24PM, import, system alert CA01287
quhundley, 09/12/2015 04:05:44PM, create, system alert CA01597
dsblythe, 09/12/2015 05:58:27PM, unmerge, office visit OV00787
xcherndon, 09/12/2015 08:34:24PM, access, system alert CA00245
fzalcala, 09/12/2015 10:32:32PM, delete, office visit OV05068
dsblythe, 09/12/2015 11:35:14PM, complete, appointment A003583
lqmadden, 09/13/2015 01:16:54AM, print, notification NX1293
lqmadden, 09/13/2015 04:11:16AM, cancel, ICD-10 Code 423
xcherndon, 09/13/2015 06:35:40AM, assign, system alert CA00233
qylarry, 09/13/2015 08:39:09PM, create, system alert CA02888
dsblythe, 09/14/2015 12:12:43AM, access, message M4525
qylarry, 09/14/2015 07:16:09AM, assign, notification NX1212
quhundley, 09/14/2015 12:17:21PM, cancel, notification NX3412
xcherndon, 09/14/2015 12:42:48PM, resolve, notification NX0525
quhundley, 09/14/2015 12:59:01AM, cancel, ICD-10 Code 423
qylarry, 09/14/2015 02:04:22PM, update, notification NX0017
fzalcala, 09/15/2015 01:10:14AM, assign, notification NX1212
dsblythe, 09/15/2015 07:05:01PM, update, ICD Code 26
qylarry, 09/16/2015 01:24:31AM, complete, ND code 245
quhundley, 09/16/2015 04:05:42AM, unmerge, notification NX1624
quhundley, 09/16/2015 05:04:34AM, access, message M4525
lqmadden, 09/16/2015 11:26:00AM, merge, system alert CA00306
xcherndon, 09/16/2015 12:24:28PM, complete, LOINC code 51
lqmadden, 09/16/2015 12:42:58AM, cancel, notification NX1604
xcherndon, 09/16/2015 03:19:11PM, merge, message M3062
dsblythe, 09/17/2015 07:58:28AM, cancel, office visit OV01843
xcherndon, 09/17/2015 12:50:14AM, modify, HL7 Code 282
fzalcala, 09/18/2015 02:31:41AM, unmerge, office visit OV03951
xcherndon, 09/18/2015 04:02:14AM, query, notification NX2872
dsblythe, 09/18/2015 06:15:17AM, complete, ICD-9 Code 905
qylarry, 09/19/2015 12:03:34PM, schedule, appointment A002321
dsblythe, 09/19/2015 07:31:31PM, disable, office visit OV03696
fzalcala, 09/20/2015 03:31:52AM, assign, notification NX1212
lqmadden, 09/20/2015 06:59:17AM, resolve, office visit OV00214
fzalcala, 09/20/2015 12:39:58PM, create, system alert CA01597
quhundley, 09/21/2015 02:23:34AM, complete, system alert CA03406
lqmadden, 09/21/2015 09:21:22AM, update, message M5894
lqmadden, 09/21/2015 12:02:25AM, access, message M5124
dsblythe, 09/21/2015 02:48:28PM, unmerge, message M3029
xcherndon, 09/21/2015 03:59:57PM, unmerge, notification NX1624
dsblythe, 09/21/2015 10:05:12PM, export, system alert CA04826
fzalcala, 09/22/2015 02:34:23AM, complete, message M3214
xcherndon, 09/22/2015 03:38:16AM, complete, appointment A000237
lqmadden, 09/22/2015 06:15:51AM, resolve, notification NX4608
quhundley, 09/22/2015 03:44:53PM, schedule, appointment A002321
dsblythe, 09/22/2015 04:26:17PM, assign, ICD-9 Code 790
quhundley, 09/22/2015 11:52:42PM, cancel, office visit OV01843
dsblythe, 09/22/2015 12:12:19PM, access, notification NX3701
xcherndon, 09/23/2015 05:03:57PM, resolve, notification NX1467
fzalcala, 09/23/2015 05:46:21PM, cancel, ICD-10 Code 423
fzalcala, 09/23/2015 08:12:07PM, update, notification NX3622
lqmadden, 09/23/2015 11:28:58PM, complete, message M3214
qylarry, 09/24/2015 01:31:32AM, view, notification NX4622
lqmadden, 09/24/2015 02:31:19AM, schedule, appointment A002321
dsblythe, 09/24/2015 04:09:25AM, update, notification NX0755
quhundley, 09/24/2015 02:20:50PM, cancel, ND code 147
lqmadden, 09/24/2015 04:26:35PM, unmerge, office visit OV00787
qylarry, 09/24/2015 07:09:24PM, delete, office visit OV02611
qylarry, 09/25/2015 03:50:59AM, unmerge, notification NX4544
qylarry, 09/25/2015 09:23:01AM, query, message M5221
xcherndon, 09/25/2015 09:49:07PM, export, system alert CA04826
xcherndon, 09/26/2015 04:16:05PM, cancel, notification NX1118
xcherndon, 09/27/2015 04:48:26AM, update, ICD Code 26
lqmadden, 10/01/2015 12:13:27AM, cancel, system alert CA02174
qylarry, 10/01/2015 03:34:51AM, sort, system alert CA03744
xcherndon, 10/01/2015 06:55:05PM, disable, notification NX3034
qylarry, 10/02/2015 12:07:42AM, resolve, ICD-9 Code 194
qylarry, 10/02/2015 04:28:02AM, query, system alert CA02891
qylarry, 10/02/2015 11:30:06AM, unmerge, system alert CA02196
dsblythe, 10/02/2015 11:37:32AM, unmerge, appointment A000855
dsblythe, 10/02/2015 12:02:00AM, order, appointment A004704
dsblythe, 10/02/2015 01:18:29PM, delete, notification NX2338
lqmadden, 10/02/2015 02:24:02PM, export, appointment A004719
quhundley, 10/02/2015 04:03:45PM, export, system alert CA03624
qylarry, 10/02/2015 08:18:33PM, resolve, notification NX4608
dsblythe, 10/03/2015 01:33:35AM, delete, ICD-9 Code 261
quhundley, 10/03/2015 07:22:18AM, complete, message M5156
qylarry, 10/03/2015 08:48:47AM, complete, office visit OV02451
dsblythe, 10/03/2015 12:44:44AM, sort, notification NX4096
qylarry, 10/03/2015 06:06:55PM, create, message M4467
qylarry, 10/03/2015 09:45:26PM, delete, notification NX1155
qylarry, 10/04/2015 12:21:53AM, disable, office visit OV03696
qylarry, 10/04/2015 01:33:50PM, unmerge, system alert CA00345
quhundley, 10/04/2015 03:24:58PM, import, ICD-9 Code 741
fzalcala, 10/05/2015 03:52:41AM, order, notification NX2330
lqmadden, 10/05/2015 08:03:07AM, cancel, office visit OV00234
quhundley, 10/05/2015 11:45:06AM, complete, system alert CA03406
dsblythe, 10/05/2015 04:48:04PM, assign, notification NX1212
fzalcala, 10/05/2015 06:12:32PM, resolve, appointment A000609
fzalcala, 10/05/2015 06:56:05PM, print, notification NX2286
fzalcala, 10/06/2015 04:47:42AM, order, notification NX3450
xcherndon, 10/06/2015 06:18:05AM, cancel, notification NX1390
xcherndon, 10/06/2015 11:12:16AM, unmerge, notification NX4544
xcherndon, 10/06/2015 06:56:33PM, resolve, notification NX4608
qylarry, 10/06/2015 11:27:57PM, view, appointment A002502
lqmadden, 10/07/2015 12:25:17AM, order, system alert CA02247
lqmadden, 10/07/2015 07:30:02AM, merge, system alert CA00306
fzalcala, 10/07/2015 12:24:24PM, sort, appointment A002378
dsblythe, 10/07/2015 12:40:36AM, print, office visit OV00092
quhundley, 10/07/2015 04:12:52PM, unmerge, notification NX4544
qylarry, 10/07/2015 09:14:43PM, order, notification NX1379
lqmadden, 10/08/2015 05:53:21AM, cancel, system alert CA03522
qylarry, 10/08/2015 09:02:48AM, update, office visit OV01451
fzalcala, 10/09/2015 11:35:32AM, unmerge, notification NX1624
qylarry, 10/09/2015 03:05:06PM, resolve, notification NX0525
qylarry, 10/09/2015 08:31:52PM, create, notification NX2430
fzalcala, 10/09/2015 12:01:04PM, cancel, notification NX0301
qylarry, 10/09/2015 12:41:28PM, modify, notification NX3875
lqmadden, 10/10/2015 12:02:32AM, enable, system alert CA04762
lqmadden, 10/10/2015 02:41:57AM, access, system alert CA04151
dsblythe, 10/10/2015 12:45:53PM, delete, notification NX4358
dsblythe, 10/10/2015 06:18:50PM, resolve, ICD-10 Code 394
qylarry, 10/10/2015 11:28:11PM, update, CPT Code 89
qylarry, 10/11/2015 12:14:22AM, merge, message M1235
lqmadden, 10/11/2015 02:27:00AM, unmerge, notification NX1034
fzalcala, 10/11/2015 02:35:31AM, modify, appointment A005126
xcherndon, 10/11/2015 03:15:54AM, modify, notification NX2143
qylarry, 10/11/2015 05:30:01AM, order, system alert CA04806
xcherndon, 10/11/2015 06:14:40AM, sort, office visit OV02680
dsblythe, 10/11/2015 09:59:25PM, resolve, appointment A000609
lqmadden, 10/11/2015 11:05:58PM, import, office visit OV01979
lqmadden, 10/11/2015 12:07:49PM, assign, HL7 Code 1
fzalcala, 10/12/2015 11:08:01AM, update, notification NX3622
qylarry, 10/12/2015 07:38:46PM, print, notification NX1293
quhundley, 10/13/2015 03:17:15AM, update, notification NX0017
quhundley, 10/13/2015 03:17:40AM, view, office visit OV02682
qylarry, 10/13/2015 02:29:20PM, create, message M3668
quhundley, 10/13/2015 12:35:53PM, create, ICD-9 Code 130
lqmadden, 10/14/2015 10:03:51AM, modify, notification NX2392
qylarry, 10/14/2015 05:28:33PM, cancel, system alert CA03969
fzalcala, 10/14/2015 09:24:42PM, unmerge, system alert CA00345
xcherndon, 10/15/2015 09:34:03PM, unmerge, notification NX1034
qylarry, 10/16/2015 04:38:52AM, complete, message M3214
fzalcala, 10/16/2015 10:38:05AM, unmerge, system alert CA00345
qylarry, 10/16/2015 02:24:09PM, sort, system alert CA04760
quhundley, 10/16/2015 11:38:31PM, complete, appointment A003583
dsblythe, 10/17/2015 06:09:20AM, update, notification NX3502
quhundley, 10/17/2015 06:19:09AM, query, notification NX2872
qylarry, 10/17/2015 12:47:45PM, assign, ICD-9 Code 790
qylarry, 10/17/2015 06:03:30PM, create, system alert CA04840
